i1 i2 dist
-1194 1566 99.8982834
-1013 582 97.0286572
805 145 20.9709224
2101 216 41.4324114
1073 1468 27.4446078
-497 1695 24.2396894
1404 2465 80.2081082
-1362 86 49.3450818
1675 2124 40.5759939
651 813 27.0511268
1992 -265 83.6947645
1392 1599 10.0894820
-873 -1167 4.6240420
-588 288 63.6044726
-684 2294 8.2340189
2083 -1211 22.0995139
715 50 70.5761641
577 2146 38.8129382
893 1 7.7318782
722 -688 52.6263013
-89 593 56.8781016
-10 2414 14.8648064
1745 -406 75.4961270
424 -1326 17.1796755
-1342 1349 11.4311146
-861 -599 17.4359328
139 1989 86.1732988
1515 -83 67.7745986
1469 2021 77.7411012
1986 -1031 31.5015954
1488 -1413 8.3489317
-745 828 36.8921122
1086 -1349 52.6264206
1627 2463 45.6357786
-1495 1653 31.2358398
-594 2475 6.7190296
-1367 -1486 25.2634499
1028 -574 25.3990172
1863 2057 81.9412805
2191 -852 68.1659561
698 1058 80.3663946
929 -886 77.2919133
2021 -1254 14.1436177
496 -399 45.6344451
-162 1890 6.9035248
875 -919 29.8574379
1794 2205 88.3449444
1485 2247 27.7591609
-998 -1277 93.0305232
-942 2472 6.2138099
1570 1341 21.6479449
1384 -1040 11.9863116
2034 -862 34.6099750
1674 725 23.0594489
1388 561 69.3332062
-285 -902 8.8603661
-1383 1889 68.4492881
1699 1997 0.1728387
-98 191 88.1686758
1514 -66 77.4783054
1537 -415 0.9361444
1672 1872 80.9420869
1327 -1246 70.6025203
-1014 879 42.6615606
-1323 1293 76.1856527
1726 2358 20.8218686
-701 2075 23.8555041
1704 -75 47.2870861
1755 1313 20.1445142
2321 -1455 57.1582553
-1314 -393 67.1209713
181 2358 26.6180470
-511 -1431 62.7194586
429 380 93.7354126
163 177 36.3420038
-535 2215 20.5454263
1679 1392 19.3924144
1854 -1383 2.3613472
713 -886 37.5041537
1638 1585 94.2181340
518 1562 62.4221000
-349 429 40.7680343
-225 330 99.7675383
-1267 655 91.5389724
1775 1051 85.0610540
2079 368 67.9930983
1454 -1258 70.8646244
674 2079 23.2557867
-1392 -827 48.8680959
1947 2092 0.3056498
-1396 71 33.0096300
1032 -737 29.5324015
1612 2435 52.9060360
1931 -468 52.9569362
-1095 193 14.4844853
102 1889 10.1156145
1332 789 65.2726916
1723 -264 11.7739895
-1116 2235 57.2019925
1862 918 37.9980275
2101 327 61.0739872
2168 1580 63.6251045
-702 1530 0.9777279
1679 1350 58.8016869
264 -1485 74.0279541
-72 1555 64.2535245
1271 1372 76.4328069
-806 1868 44.7894984
-725 -1346 88.3299555
2447 2291 72.5087173
-1300 407 20.8914879
2175 -1194 92.4350968
1549 1417 42.0616752
1106 626 41.1035800
1100 1343 88.2356511
1042 -873 14.3532038
1940 206 73.1913618
461 525 51.7996891
2322 2029 92.9790940
1403 1222 88.3504958
2160 327 40.2289537
-1048 -755 72.6369085
-891 -1339 90.8334917
1608 661 35.5309670
1181 -66 16.1811190
-1376 2115 66.2200162
-559 -1453 56.6048276
-1246 1562 58.5533394
2408 1736 46.7489237
930 166 54.5386839
892 777 73.3400002
859 2462 23.8663254
1445 1734 89.3690369
536 -578 85.7918297
-1028 260 7.8626147
1440 2437 31.5253678
917 -64 54.8600078
1187 790 46.1915047
1648 1450 7.1462905
-563 1204 1.9393517
1134 -180 97.0439860
1338 1597 55.1989529
1402 996 35.2280445
2324 2408 27.3836450
-1496 -482 60.5022472
1722 1181 79.1311886
-1329 -1309 5.5536868
2141 -516 54.5559451
31 1637 32.0589353
260 -284 72.1114252
661 622 4.3624800
244 -1073 21.3920848
-674 2196 91.5978411
-406 -561 85.8703059
-1292 1871 21.3152367
2264 645 92.6237694
1837 -796 93.8158005
1118 797 65.2406845
617 -793 36.5892531
890 2113 81.3235541
-1219 1991 51.0926115
-1201 2426 11.6270772
529 1769 54.6879465
-1041 2015 3.2157935
-726 462 34.9240341
527 -304 70.2001345
824 1562 79.1093560
1696 -32 5.1759256
-531 24 2.0138982
1037 -1045 73.7656412
-1465 2039 22.6267435
1981 432 30.3046756
-679 661 65.5300395
170 -311 37.7665245
618 1514 51.4168052
2497 -1486 23.1333612
-147 366 50.0813257
2096 -1153 54.0414537
533 -770 52.3895960
-220 -1119 52.1970058
1964 1358 55.2332061
2302 -627 60.9416273
1619 1028 80.4485662
521 1812 9.1489396
-279 -273 48.1540530
-1401 -253 23.5167852
1515 40 66.9888924
1946 -456 84.2538024
1832 -1269 73.6321040
-68 2088 35.8681039
1380 826 93.3387187
1554 -475 68.4619361
2111 -1182 2.0874727
-1377 1985 19.3448988
2303 1135 89.3798284
-366 -36 71.6976444
2252 -131 10.7551881
1746 496 41.6944110
-491 -1 60.1336933
4 1125 93.8922736
1767 -1281 65.6471904
-254 490 51.1056431
516 1182 40.4928412
2064 -526 92.6468416
375 755 26.1122222
-407 1906 7.6575129
729 462 6.1245886
2384 299 74.5479289
-203 1034 34.3757539
-1365 -1201 17.5565871
2383 -926 89.8680955
-599 1165 12.1052626
1342 -542 49.5044826
-145 481 36.9775747
-106 1047 15.1368646
688 754 77.1042607
1242 2212 6.3026417
724 104 69.4235249
-361 769 37.2383784
-211 2027 60.7722909
-492 -690 29.7404710
-913 46 53.4958695
178 2156 58.8511255
1249 -541 17.7937129
208 -563 25.8683884
2190 -543 21.0049800
-1390 889 87.1443138
-435 600 61.2768944
1003 -1340 96.9527099
541 -304 59.5852241
-1288 1318 17.4481125
1015 2239 12.7848446
1201 1392 16.7035601
-275 -619 30.8051067
521 606 15.1717252
317 -1036 23.9986234
-489 187 93.6025785
-119 2426 33.5987409
-1074 378 38.1188737
334 1650 12.3067671
-360 202 65.2331841
524 -83 8.5582092
1095 2164 37.7683248
138 2262 76.5106789
1870 2311 58.0627788
-941 -169 45.1862522
1107 147 21.2048512
714 2312 45.9135818
1179 507 77.6280596
1798 248 19.4377265
-8 -1296 3.7814913
793 196 68.8438771
-990 1496 35.6782674
-2 1636 49.3033157
-113 -55 72.3779591
2455 -1273 35.7204555
866 1216 59.2370500
-474 -469 46.0962553
-434 1253 16.9369486
-501 1361 60.6409731
-808 1824 84.4444085
1248 617 70.7242580
-1315 1827 1.1820922
-1127 -623 17.6023607
-463 1835 4.8405585
1603 -288 50.3329754
1435 1334 28.7286281
667 487 80.3821320
645 1032 93.4639260
-125 -720 38.3117665
699 -422 35.7836459
-1265 2260 22.3704558
1360 1514 15.0664242
844 -1153 73.3777531
349 586 42.9268376
-209 2381 87.3574768
1631 947 23.6191915
594 405 21.9657781
584 -531 95.1208042
-1364 -376 12.4403768
-610 1907 29.6347955
1973 1886 56.8969408
2360 351 9.0684687
1904 -1194 91.1467542
-751 670 49.0276379
1367 -422 12.5338137
-701 -101 76.0535212
1094 -870 2.6987321
1912 1927 10.2686812
1536 2249 78.8885181
-862 -702 50.4299549
982 1390 64.1639066
-54 610 99.7977076
1378 1512 86.9020875
-515 1771 50.5473768
991 415 46.2563083
-319 3 33.2485127
-1166 365 86.6872348
422 662 89.8626032
1915 793 58.4012161
1412 1218 24.9535287
1029 154 84.2456348
406 422 2.3935077
-768 -1451 33.2152442
-770 1665 84.9360294
-777 1083 11.0384738
828 -1481 73.5355423
-123 932 7.4292563
1186 -591 63.7302053
554 891 92.4084191
440 -1365 8.4098517
934 761 16.4472023
1722 1647 66.6116646
1093 1133 92.7597859
2061 2444 20.3337765
915 1344 52.0935709
122 1174 9.4900365
1037 1363 81.2216851
421 -355 71.7963808
1641 1005 54.8810779
-122 1050 23.1129243
1224 86 32.7404488
524 -177 57.4980157
1110 1241 63.1360214
-1275 -718 47.5506155
-927 1230 67.6895568
2057 -837 5.6207522
1644 1443 77.3240759
-832 1525 52.3600227
2257 474 58.8401531
717 1199 38.2664588
-196 522 40.3745674
1679 1991 76.8640338
925 -868 41.7800045
-1485 1454 79.6916112
1992 387 28.2158253
-68 259 72.1157669
1392 577 98.4752498
548 560 90.2423935
-1282 -1036 94.5032802
2109 2295 31.3925341
-275 -1301 84.5189865
65 1320 97.5473566
1918 476 45.5525193
477 -222 5.9546235
1551 953 44.5227744
319 -144 36.8129877
-259 -147 94.8607510
1690 236 33.7253010
1595 1100 48.1692926
-1118 2052 41.2976601
202 -978 79.7861387
-220 2206 3.7020810
1022 -262 36.7280097
-170 71 72.0005647
320 388 65.8304457
-1051 104 58.1736693
1919 2475 53.5022817
-473 -1421 46.9551798
667 -780 27.5163827
-147 -869 37.1525277
364 1035 36.4690174
1554 -1179 25.6758871
1079 1097 95.9129940
1026 -869 79.3167680
-100 830 42.3944435
416 1289 45.4765927
2239 862 68.7831511
-57 -848 21.7871855
-808 119 60.0673749
-626 -65 88.8800556
-1246 -1321 42.6335481
-1498 1713 29.9215655
689 2177 56.4840204
2392 1244 32.8558116
1625 172 90.5771957
-1345 -531 43.4969296
-730 2074 92.6047070
2008 -949 25.5879851
2243 346 95.6014682
-1126 1431 49.5984979
286 2317 68.6832490
15 -1181 69.1466935
1701 1486 9.0586885
-1449 2476 61.3601585
-771 1369 90.4064646
-1220 1811 39.8301904
1487 -120 86.4709134
-1430 1015 51.6685786
2098 1183 32.9688304
-344 978 16.5440205
-674 1223 30.5677386
-974 -146 2.7166050
1943 514 31.3683031
1959 -428 25.7177751
-1394 -595 79.9978589
1181 1274 65.3993333
811 147 31.4747600
393 742 14.7208596
2422 1700 60.5753922
2455 2472 96.2942550
1008 752 49.9564847
-729 1107 62.3477961
-1311 120 61.3432658
653 386 18.2859138
1280 848 64.5153027
-1037 1003 75.5059936
-593 856 76.2800598
1887 -1194 35.7796786
-1047 -1197 16.9472201
-1049 -628 66.4098351
-388 814 20.3798228
1602 -284 29.6737848
-509 2210 29.4483853
-234 1205 23.2033587
1080 1601 69.9645332
852 -942 41.3223861
835 25 77.4282825
2008 993 56.5899115
651 253 33.4692747
1833 -404 53.5541187
-526 2458 72.2969361
1790 1365 69.7435657
1074 -981 36.6071674
989 816 99.7613929
2421 1802 91.9959151
991 2217 50.4285405
2283 2217 74.4438957
-83 339 13.9639219
1403 1021 72.2545361
-1241 -1431 93.1310226
645 -1472 59.6913859
-775 -1018 36.3344892
2289 1323 44.5730517
-1147 2122 4.1728461
-721 1938 41.9810994
-234 -1237 0.9047167
-1234 1043 15.0768732
215 394 67.2130778
-536 1145 35.9751310
-1283 67 24.9833021
2113 -1304 2.5073893
2466 1929 47.3855432
1358 1933 20.0273489
-113 -756 62.3272890
866 -1489 39.1074778
2144 23 27.3823507
-18 767 92.6008476
-420 1466 27.3150590
-697 1614 37.2800897
-393 2464 72.0475579
201 1945 60.7414848
644 786 71.0755803
1462 1955 11.2385829
1663 -723 35.2696135
1857 226 86.3662351
-827 -262 19.7616252
1196 -918 47.1827054
-1076 2230 66.9800587
-571 2226 96.1851728
-874 -780 75.4874851
2147 498 25.2581827
-1094 1988 51.1371733
1323 -416 13.2488208
-1445 1997 28.7502652
1982 -70 77.6978421
1682 1283 63.9116218
1646 -1111 31.4279414
994 -1097 53.8428052
-1148 1983 57.5717208
1491 -113 69.5424795
-1216 1614 7.9920296
2429 -827 75.1089844
2078 1168 44.8351982
1870 1822 41.1137905
1676 2459 23.5676047
595 1513 28.4641245
709 -1431 95.1559423
-28 760 99.5076236
1066 1216 84.8133483
2401 671 45.5725566
-729 1202 27.4232031
701 -1097 83.9822317
1389 -1420 7.6025617
248 1468 70.2311080
-548 561 75.4222258
-1259 -1380 89.5468257
1769 -848 76.6413147
286 2294 48.7126573
1254 38 38.4702714
1918 -357 16.4172922
924 1162 15.8022931
-1080 169 86.0615939
186 -423 47.2669674
1539 451 44.4682617
2153 -1004 35.3275431
603 -303 38.4046338
1926 1071 64.3631543
2144 -1431 37.2109262
-1478 1903 72.7745708
1215 -935 77.0745621
938 121 96.3080347
509 -1235 14.2253780
492 -170 63.5178623
-913 1461 94.2202786
-1232 -262 72.8445941
-262 583 43.7239718
-1276 -312 72.2037487
-202 2294 63.5178517
1508 2251 62.1466025
1963 72 86.5560581
-1353 1185 80.6689806
-1054 1601 67.1288217
-1119 -1279 91.0694269
-620 2359 31.5922490
875 1417 66.5850386
-504 564 1.1902928
-426 1673 89.3153798
-1333 247 82.4941858
1405 1843 45.9816691
393 236 45.0195875
-1047 36 40.2096497
482 874 14.7067064
-492 1473 87.1287405
945 -1146 80.9693758
-1431 -273 36.5100208
1117 -712 3.3221658
436 -1075 80.6913236
-426 2396 3.9878883
1219 651 32.1922347
-1245 1408 72.4080866
-147 624 54.0912385
-574 -470 98.4793720
222 1433 36.5207241
-1401 -677 98.9995795
93 -62 8.4035282
-1016 653 91.3645228
-444 2257 58.1617895
626 931 78.3023255
-571 -1426 81.3672730
-1160 1300 40.0412733
-160 615 65.5119587
1616 155 57.7164445
2342 1141 56.5063700
961 -560 42.0121058
-859 -66 91.8946283
38 -891 37.8304430
1305 2163 12.2072206
-1123 2264 42.0961780
79 1559 62.5139024
-263 1123 17.4602549
-1393 2254 64.7692081
-240 2222 75.6766930
2311 254 35.8146736
2177 2402 20.8907133
-416 2296 13.5263899
-733 1431 97.5726118
1666 1430 14.5803161
1581 -695 36.2737869
-378 3 8.6789810
-1305 579 27.0729046
860 -1375 68.1840688
1170 924 14.9971244
-1 -1268 9.2324436
2399 988 87.2891107
-1000 -684 24.7604465
-217 -914 34.6310847
66 952 18.3347948
2056 -289 99.5902580
779 645 95.0986448
1904 -1283 49.5284391
1039 133 75.5896995
1418 139 20.4310960
-1012 1017 22.5701760
1537 -1181 94.7600692
777 -547 11.8828178
2121 2381 22.3930024
-228 -1206 1.9010356
1339 2364 71.5021822
2353 788 16.1750034
2477 1107 4.3787031
2145 210 59.3677202
-877 -869 0.0630305
1073 1357 46.0841688
1554 -1217 30.9707987
100 329 91.0629988
-1055 431 89.8641037
-645 -880 34.3249073
79 1688 64.7169158
732 677 18.6057501
229 -287 89.1401748
515 -1048 43.5739059
2278 1379 35.8346745
867 1954 97.3682278
1320 1743 60.6528447
-727 -318 47.5633274
235 1843 51.1559426
-946 2305 47.2570250
1776 1867 12.7746835
-1443 229 45.7365030
42 77 3.7905391
1699 -140 18.5960420
-923 2273 50.1283661
-517 -369 3.0277476
1525 -885 10.9180289
2279 -813 1.4656969
2425 1754 73.6678773
597 2291 28.1613946
1337 1556 73.8797562
2210 1141 32.0377964
-6 -164 55.1849430
2200 -715 8.5475006
1352 1610 84.7125470
1571 -1089 2.3419403
1402 1379 24.9553559
318 -160 45.7569419
-1376 1610 78.9059106
-1043 1514 10.0835364
-1452 989 96.9580893
-194 521 11.0735041
2322 -47 26.2445723
-1464 -797 54.4051619
-1140 -599 27.4770273
333 -1001 20.0173096
-540 756 83.7372122
-392 1746 77.8911327
580 92 97.6222245
-1281 -443 85.6452799
763 1581 2.6318828
2257 -133 30.6995386
-267 1716 26.1177215
386 1586 94.4813475
-414 -598 69.3843261
984 -632 65.2415218
1102 -530 57.1802015
216 -374 18.1463400
647 2386 98.8361835
-319 1142 57.5667097
1408 77 58.0409229
410 1007 2.1638349
-599 923 66.6135868
-437 1561 8.6896554
1353 -877 75.8324148
1333 -999 88.2689191
-788 1788 74.2745768
-177 894 61.0749983
1788 -943 68.8519907
-214 -1419 69.5178286
278 1686 95.8941206
-7 -289 10.6695188
1051 2116 27.2489429
1524 -315 44.6748467
1431 22 49.6035109
976 2166 5.8059088
498 888 81.7364633
2443 296 77.1477350
2325 1845 39.4715472
-673 -669 22.6694362
-69 -577 96.8927756
1767 -576 89.9726701
1947 171 85.4128730
-707 2130 38.0880781
1401 -476 10.3629573
790 -505 60.4658333
233 -686 86.6237438
-738 -48 14.1444133
1869 1122 11.4086691
2062 905 17.7811696
873 873 17.6842736
2459 979 81.7268506
-1355 271 93.1462679
1223 -872 64.9385279
-418 1861 16.6176220
1022 -514 7.5696085
-1012 1077 73.3359553
692 -1095 94.6421132
-114 1790 62.4630725
-766 -1352 55.7055331
-977 121 97.2881480
-549 -799 52.5066952
2148 -1220 53.8309712
-1176 -1265 31.9646229
-851 -585 17.9809103
1999 2410 3.6726774
1684 1860 46.5839150
1676 2126 23.5448308
1401 2331 32.9060254
-743 -846 37.6835328
1526 2090 3.8574610
1829 777 47.3100274
1208 -876 25.8304296
904 706 38.2298742
624 648 3.6017201
1817 -532 28.8534289
2258 312 53.8118230
1043 44 55.5098730
-9 -1058 53.5749171
-1319 1203 49.4992120
-69 -1208 52.4135712
11 1593 68.5669170
89 391 33.0280976
-473 2395 23.6225845
2341 730 66.6559345
18 -342 27.6921207
285 211 59.6237987
1405 -927 96.9137279
-1350 2064 18.0924266
1744 953 27.5229303
-265 672 88.6409020
-265 461 97.2356622
1528 -708 99.1789024
914 -678 38.9721134
2010 1986 80.9405630
1585 -716 87.0464096
690 1262 25.4435062
1186 2097 50.8433818
2458 210 24.2962473
1887 127 49.9192389
1174 1063 80.9482825
987 2331 49.3430534
2437 -882 76.0256746
-1106 119 78.8743040
312 -1425 85.1929728
-892 -410 0.6249757
2446 1009 90.7454861
-1105 210 88.8909630
1706 -1478 16.2206912
-1311 2078 4.2110913
-240 698 79.9774785
512 1017 87.3051295
-1217 520 7.8276483
1493 -375 1.2779071
701 1691 82.3314688
168 441 97.8152573
1581 -105 78.5892320
792 1863 14.2138584
1286 -1221 86.8031509
1730 2212 50.8284406
-1013 2248 61.4980494
2223 888 69.5446575
287 1611 95.5718672
975 1911 75.0544012
1196 1285 20.7153376
-1377 1212 85.9045562
1687 183 50.6939577
2415 380 20.9863756
1548 -697 89.8490946
2014 -483 0.9480327
-1005 -128 6.4506283
681 2294 97.2119668
-48 -602 57.0969575
687 577 35.3214122
-546 588 89.3809478
-1299 -320 83.1191671
-973 1990 32.3199922
534 856 75.2637696
-1165 1673 81.5923185
562 2452 6.8358374
2006 484 34.1226594
2356 -819 6.8637720
1974 -817 66.5488377
1034 -873 7.8993227
-892 2193 26.4137901
1595 1396 36.5902881
325 -1352 47.4561911
790 -73 91.5403621
1291 -596 34.1480296
1221 -977 42.9900390
-1105 1402 74.7529274
323 -117 77.2078336
412 -1403 74.1550504
-242 -115 5.1397078
711 1843 59.0854081
-965 103 70.3638645
-963 -716 28.9799233
691 2164 84.0483923
156 985 3.3943391
1422 -48 44.4598827
1836 -1242 77.1933664
-187 1705 0.6982009
1131 1809 51.0707262
-673 -1237 10.8385789
1414 -149 45.4106079
-1080 502 23.2191511
-943 905 15.7373485
883 2316 75.8666142
2299 -84 53.2928738
544 -739 77.7121800
1565 2153 27.8583385
-838 157 34.5094513
2436 305 78.4266490
-900 1872 3.8747040
522 915 22.1591439
730 -559 40.3061518
1316 1456 2.2071321
491 -228 20.2588434
2085 -849 34.8943810
-542 -95 58.7003829
-999 2043 75.5726437
-522 1557 1.7213441
894 -1124 33.1977046
-80 -1147 35.0836974
1685 111 34.7886800
1707 -802 91.2506347
1141 1622 98.7554167
-650 327 83.6096175
-1350 -1255 90.0789639
2030 -521 93.3113877
-639 1160 90.1151227
452 2085 41.7179289
-85 1958 40.7688990
1111 1892 8.1959806
1394 19 22.1283646
-1206 -357 86.7617620
1726 -217 33.8173534
1894 1713 60.4469145
1429 1526 91.1926038
2004 -1123 49.2401078
2210 -1028 5.3260023
1990 1339 14.3964391
796 -577 33.4695213
641 2235 10.5793637
810 1576 78.1058084
11 1097 67.1865289
-585 449 86.3702928
1097 1211 42.1045519
1689 1733 41.8898979
-997 -973 88.1930656
-538 476 65.9604177
-1059 1565 72.3190211
-184 277 84.7027542
-167 -115 37.5616099
-324 1482 95.1631724
2124 1101 46.3414645
-745 1741 33.8044382
-1186 1515 87.4311633
-919 890 1.9494429
-383 -723 64.4002706
1388 -1389 63.5925345
1559 -888 50.9379579
1690 651 36.0744555
-337 1511 59.9178297
753 1908 98.3750614
615 2074 27.3708811
471 1625 4.6765761
1687 1618 29.5364721
2407 980 48.7511370
1624 95 14.1133889
2312 -15 10.8975945
-432 -577 20.6666126
2090 -555 0.6835914
-593 1835 13.9848713
-763 1180 48.3609520
2223 643 55.3115862
1558 22 2.2138515
-1291 -375 27.0200948
287 601 90.1527409
